id;start_date;end_date;language
1;2020-07-23T06:30:13;2020-07-23T04:20:28;SPANISH
2;2020-07-22T11:20:24;2020-07-23T06:24:49;SPANISH
3;2020-07-23T02:15:43;2020-07-22T12:49:52;FRENCH
4;2020-07-22T17:33:14;2020-07-23T05:04:40;FRENCH
5;2020-07-23T03:03:32;2020-07-23T07:50:31;FRENCH
6;2020-07-22T20:55:53;2020-07-23T09:04:07;FRENCH
7;2020-07-22T22:41:13;2020-07-22T16:32:04;FRENCH
8;2020-07-22T21:37:26;2020-07-23T07:53:34;SPANISH
9;2020-07-22T20:18:35;2020-07-22T16:59:58;SPANISH
10;2020-07-23T04:30:39;2020-07-22T15:05:09;SPANISH
